player_name,player_id,team,position,PTS,REB,AST,STL,BLK,TO,FG_PCT,FT_PCT,THREE_PM,USG_PCT,ast_pg,blk_pg,stl_pg,threepm_pg,context_neutral_source,league_avg_PTS,team_avg_PTS,context_delta_PTS,context_neutral_PTS,context_neutral_delta_PTS,context_neutral_ratio_PTS,league_avg_REB,team_avg_REB,context_delta_REB,context_neutral_REB,context_neutral_delta_REB,context_neutral_ratio_REB,league_avg_AST,team_avg_AST,context_delta_AST,context_neutral_AST,context_neutral_delta_AST,context_neutral_ratio_AST,league_avg_STL,team_avg_STL,context_delta_STL,context_neutral_STL,context_neutral_delta_STL,context_neutral_ratio_STL,league_avg_BLK,team_avg_BLK,context_delta_BLK,context_neutral_BLK,context_neutral_delta_BLK,context_neutral_ratio_BLK,league_avg_TO,team_avg_TO,context_delta_TO,context_neutral_TO,context_neutral_delta_TO,context_neutral_ratio_TO,league_avg_FG_PCT,team_avg_FG_PCT,context_delta_FG_PCT,context_neutral_FG_PCT,context_neutral_delta_FG_PCT,context_neutral_ratio_FG_PCT,league_avg_FT_PCT,team_avg_FT_PCT,context_delta_FT_PCT,context_neutral_FT_PCT,context_neutral_delta_FT_PCT,context_neutral_ratio_FT_PCT,league_avg_THREE_PM,team_avg_THREE_PM,context_delta_THREE_PM,context_neutral_THREE_PM,context_neutral_delta_THREE_PM,context_neutral_ratio_THREE_PM,league_avg_USG_PCT,team_avg_USG_PCT,context_delta_USG_PCT,context_neutral_USG_PCT,context_neutral_delta_USG_PCT,context_neutral_ratio_USG_PCT,projected_games,projected_minutes,fta,z_PTS,z_REB,z_AST,z_STL,z_BLK,z_THREE_PM,z_TO,z_FG_PCT,z_FT_PCT,z_USG_PCT,z_projected_games,z_projected_minutes,z_fta,weighted_score,projected_games_used,sim_mean_salary,sim_median_salary,sim_p25_salary,sim_p75_salary,sim_salary_std,sim_mean_score,fmv_band
Ronald Holland II,1641842,DET,SF,7.689,3.798,1.157,0.814,0.397,1.072,0.4496,0.757,0.643,0.4025,1.157,0.397,0.814,0.643,raw_dbb2_flat_file,14.2003,8.7513125,5.448987500000001,10.4135,2.7245,0.7333,5.0968,3.5715,1.5253,4.5606,0.7626,0.8948,3.2608,2.12,1.1408,1.7274,0.5704,0.5297,0.9439,0.7265625,0.2173374999999999,0.9227,0.1087,0.9775,0.5491,0.4360625,0.1130375,0.4535,0.0565,0.8259,1.6469,1.1275,0.5194000000000001,1.3317,0.2597,0.8086,0.4691,0.4586375,0.0104624999999999,0.4548,0.0052,0.9695,0.7828,0.7500125,0.0327875,0.7734,0.0164,0.988,1.6758,0.86675,0.8090499999999999,1.0475,0.4045,0.6251,0.4773,0.41046875,0.06683125,0.4359,0.0334,0.9133,72,19.27767255642653,1.7338424510510095,-0.17564569798966786,-0.05201965539650647,-0.3939492137182872,0.5463550950757857,-0.2692665529313237,-0.37616331616642,0.07990953187010162,-0.3927066796619331,0.4837548871507752,-0.05554793001891673,1.4036335096233983,-0.12702991958588647,-0.13554432794561916,2.1617,72.0,9308341.58,9326813.9,8750887.14,9902740.66,761362.37,1.9369,rotation
Obi Toppin,1630167,IND,SF,10.026,4.25,1.703,0.571,0.32,0.999,0.5043,0.809,1.209,0.3784,1.703,0.32,0.571,1.209,raw_dbb2_flat_file,14.2003,9.299555555555555,4.900744444444445,12.4764,2.4504,0.8786,5.0968,3.769944444444444,1.326855555555556,4.9134,0.6634,0.964,3.2608,2.2429444444444444,1.0178555555555555,2.2119,0.5089,0.6783,0.9439,0.6926111111111112,0.2512888888888888,0.6966,0.1256,0.738,0.5491,0.4008333333333333,0.1482666666666667,0.3941,0.0741,0.7177,1.6469,1.1437777777777778,0.5031222222222222,1.2506,0.2516,0.7594,0.4691,0.4635222222222223,0.0055777777777777,0.5071,0.0028,1.081,0.7828,0.7666499999999999,0.0161500000000001,0.8171,0.0081,1.0438,1.6758,0.973388888888889,0.702411111111111,1.5602,0.3512,0.931,0.4773,0.4178944444444444,0.0594055555555555,0.4081,0.0297,0.855,49,20.017555481303596,1.683124404693809,0.21310204677552955,0.1636047880354128,0.03673725999746284,-0.2536423910918295,-0.569066602417306,0.5845656861799066,-0.05382897844334077,1.2449266176043714,1.2834383512409628,-0.5733036359693306,-0.16067609606095487,-0.0361970428771569,-0.1717540187790277,3.2329,49.0,9296161.79,9326813.9,8732222.84,9902740.66,759316.47,1.9194,rotation
Jay Huff,1630643,IND,C,7.36,4.242,1.022,0.423,1.138,0.827,0.5129,0.73,0.759,0.3433,1.022,1.138,0.423,0.759,raw_dbb2_flat_file,14.2003,9.299555555555555,4.900744444444445,9.8104,2.4504,0.6909,5.0968,3.769944444444444,1.326855555555556,4.9054,0.6634,0.9624,3.2608,2.2429444444444444,1.0178555555555555,1.5309,0.5089,0.4695,0.9439,0.6926111111111112,0.2512888888888888,0.5486,0.1256,0.5812,0.5491,0.4008333333333333,0.1482666666666667,1.2121,0.0741,2.2074,1.6469,1.1437777777777778,0.5031222222222222,1.0786,0.2516,0.6549,0.4691,0.4635222222222223,0.0055777777777777,0.5157,0.0028,1.0993,0.7828,0.7666499999999999,0.0161500000000001,0.7381,0.0081,0.9429,1.6758,0.973388888888889,0.702411111111111,1.1102,0.3512,0.6625,0.4773,0.4178944444444444,0.0594055555555555,0.373,0.0297,0.7815,65,17.60043458068126,1.3301495836143609,-0.21879234281628912,-0.760852692405386,-0.3928173306276327,-0.40926386503469087,0.8363486288957079,1.5500355791623217,-0.5453698249146695,-0.5849792529476239,0.907281127718193,-0.9300750984710342,0.7612000577885756,-0.34257418215819885,-0.633564139481447,2.4002,65.0,9257225.41,9272154.18,8654899.34,9902740.66,764787.85,1.8944,rotation
Danny Wolf,1642874,BKN,SF,8.596,4.545,1.689,0.616,0.548,1.141,0.4373,0.7427,0.967,0.4089,1.689,0.548,0.616,0.967,raw_dbb2_flat_file,14.2003,8.809833333333334,5.390466666666667,11.2912,2.6952,0.7951,5.0968,3.629055555555555,1.467744444444445,5.2789,0.7339,1.0357,3.2608,1.9996111111111112,1.261188888888889,2.3196,0.6306,0.7114,0.9439,0.7076666666666667,0.2362333333333333,0.7341,0.1181,0.7777,0.5491,0.4147222222222222,0.1343777777777778,0.6152,0.0672,1.1204,1.6469,1.1893333333333334,0.4575666666666667,1.3698,0.2288,0.8317,0.4691,0.4530777777777778,0.0160222222222222,0.4453,0.008,0.9493,0.7828,0.7681388888888888,0.0146611111111112,0.75,0.0073,0.9581,1.6758,1.0036111111111112,0.6721888888888887,1.3031,0.3361,0.7776,0.4773,0.4118722222222222,0.0654277777777777,0.4416,0.0327,0.9252,59,20.977683508662256,1.8307024205268303,-0.01024558379100892,0.38699122248656487,0.13247499625997314,-0.12095815521705926,0.546855804002739,0.10279578857264951,0.14273859775101552,-0.6901735309818166,0.05554909631072159,0.05061061400688727,0.5194585151061551,0.081674565996849,-0.06639202810836553,2.4902,59.0,9144159.79,9134838.31,8558911.55,9710765.07,784006.55,1.8141,rotation
Ziaire Williams,1630533,BKN,SF,9.179,3.739,1.253,0.922,0.42,1.069,0.4361,0.7926,1.158,0.3971,1.253,0.42,0.922,1.158,raw_dbb2_flat_file,14.2003,8.809833333333334,5.390466666666667,11.8742,2.6952,0.8362,5.0968,3.629055555555555,1.467744444444445,4.4729,0.7339,0.8776,3.2608,1.9996111111111112,1.261188888888889,1.8836,0.6306,0.5776,0.9439,0.7076666666666667,0.2362333333333333,1.0401,0.1181,1.1019,0.5491,0.4147222222222222,0.1343777777777778,0.4872,0.0672,0.8873,1.6469,1.1893333333333334,0.4575666666666667,1.2978,0.2288,0.788,0.4691,0.4530777777777778,0.0160222222222222,0.4441,0.008,0.9467,0.7828,0.7681388888888888,0.0146611111111112,0.7999,0.0073,1.0218,1.6758,1.0036111111111112,0.6721888888888887,1.4941,0.3361,0.8916,0.4773,0.4118722222222222,0.0654277777777777,0.4298,0.0327,0.9005,56,22.199967087924975,2.0138338381498073,0.0996191382983363,-0.1056201760568786,-0.2550983835956863,0.961745209521067,-0.09917797266739092,0.4607034137884647,0.024006504747713295,-0.727748291148538,0.9686887955807524,-0.16915619643249669,0.3154181317560222,0.23173010846895328,0.06435299245708831,2.6539,56.0,9142607.99,9134838.31,8558911.55,9806752.86,789587.28,1.8081,rotation
Kristaps Porziņģis,204001,GSW,PF,14.065,5.311,1.925,0.645,1.008,1.198,0.4703,0.817,1.498,0.3768,1.925,1.008,0.645,1.498,raw_dbb2_flat_file,14.2003,9.445555555555556,4.754744444444444,16.4424,2.3774,1.1579,5.0968,3.606555555555556,1.490244444444444,6.0561,0.7451,1.1882,3.2608,2.3485555555555555,0.9122444444444446,2.3811,0.4561,0.7302,0.9439,0.7605555555555555,0.1833444444444444,0.7367,0.0917,0.7805,0.5491,0.4103888888888888,0.1387111111111111,1.0774,0.0694,1.9621,1.6469,1.1836111111111112,0.4632888888888888,1.4296,0.2316,0.8681,0.4691,0.4614777777777777,0.0076222222222222,0.4741,0.0038,1.0107,0.7828,0.7820055555555556,0.0007944444444444,0.8174,0.0004,1.0442,1.6758,1.1357222222222223,0.5400777777777777,1.768,0.27,1.055,0.4773,0.3990277777777777,0.0782722222222222,0.4159,0.0391,0.8714,43,24.551566036881624,3.6046612964831772,0.6948780594331765,-0.11692123993112667,0.17240256875809679,-0.05638899207825943,0.5336558264196883,1.2810446621804121,0.01918345927312795,-0.820655545456405,1.3111356695807346,-0.17361345041706308,-0.8216667540463225,0.364754122503849,0.7266156217235601,3.4606,43.0,9116936.59,9038850.52,8484920.96,9710765.07,764731.46,1.803,rotation
Luke Kornet,1628436,SAS,PF,6.781,5.788,1.451,0.501,0.949,0.703,0.5944,0.7401,0.081,0.3631,1.451,0.949,0.501,0.081,raw_dbb2_flat_file,14.2003,8.8863125,5.3139875,9.438,2.657,0.6646,5.0968,3.6095625,1.4872375,6.5316,0.7436,1.2815,3.2608,2.0776875,1.1831125,2.0426,0.5916,0.6264,0.9439,0.64025,0.30365,0.6528,0.1518,0.6916,0.5491,0.438375,0.110725,1.0044,0.0554,1.8292,1.6469,1.095,0.5519000000000001,0.979,0.276,0.5945,0.4691,0.4674875,0.0016125,0.5952,0.0008,1.2688,0.7828,0.7385375,0.0442625,0.7622,0.0221,0.9737,1.6758,0.9138125,0.7619875,0.462,0.381,0.2757,0.4773,0.421575,0.055725,0.391,0.0279,0.8192,66,20.339003721413242,1.5913084442458076,-0.5440158298582402,0.09090410056498771,-0.17418871124819876,-0.4200662035430232,0.3699500768549763,-1.1701028161312539,-0.6990274042446378,1.6685810096836842,0.3295325461476782,-0.6027638391051732,1.0639764620023326,-0.19694872842351197,-0.5403432977805938,2.2079,66.0,9040895.59,8942862.72,8462923.76,9614777.28,739655.47,1.7598,rotation
Egor Dëmin,1642856,BKN,PG,9.389,2.943,2.877,0.804,0.294,1.467,0.4152,0.7934,1.6,0.4367,2.877,0.294,0.804,1.6,raw_dbb2_flat_file,14.2003,8.809833333333334,5.390466666666667,12.0842,2.6952,0.851,5.0968,3.629055555555555,1.467744444444445,3.6769,0.7339,0.7214,3.2608,1.9996111111111112,1.261188888888889,3.5076,0.6306,1.0757,0.9439,0.7076666666666667,0.2362333333333333,0.9221,0.1181,0.9769,0.5491,0.4147222222222222,0.1343777777777778,0.3612,0.0672,0.6578,1.6469,1.1893333333333334,0.4575666666666667,1.6958,0.2288,1.0297,0.4691,0.4530777777777778,0.0160222222222222,0.4232,0.008,0.9022,0.7828,0.7681388888888888,0.0146611111111112,0.8007,0.0073,1.0229,1.6758,1.0036111111111112,0.6721888888888887,1.9361,0.3361,1.1553,0.4773,0.4118722222222222,0.0654277777777777,0.4694,0.0327,0.9834,55,23.028498260897276,1.5299391458664195,0.030433720410662616,0.2957586754277006,0.12542526422442046,0.06906202590143493,0.42385860951048454,0.6167077865378856,0.29301345120472067,-0.41199592531238555,-0.08386946813117548,0.13268546003323578,0.26328465797433936,0.24318655850804402,-0.2435595635555073,2.6057,55.0,9033131.24,8942862.72,8462923.76,9614777.28,769429.46,1.7486,rotation
Jose Alvarado,1630631,NYK,PG,8.453,2.491,3.123,0.978,0.193,1.17,0.4162,0.7883,1.424,0.4089,3.123,0.193,0.978,1.424,raw_dbb2_flat_file,14.2003,9.263352941176471,4.936947058823529,10.9215,2.4685,0.7691,5.0968,3.6023529411764708,1.4944470588235292,3.2382,0.7472,0.6353,3.2608,2.238647058823529,1.0221529411764707,3.6341,0.5111,1.1145,0.9439,0.686235294117647,0.2576647058823529,1.1068,0.1288,1.1726,0.5491,0.3651764705882353,0.1839235294117647,0.285,0.092,0.519,1.6469,1.1476470588235292,0.4992529411764708,1.4196,0.2496,0.862,0.4691,0.4636705882352941,0.0054294117647058,0.4189,0.0027,0.893,0.7828,0.7486411764705883,0.0341588235294118,0.8054,0.0171,1.0289,1.6758,1.005941176470588,0.6698588235294118,1.7589,0.3349,1.0496,0.4773,0.4239882352941176,0.0533117647058823,0.4356,0.0267,0.9126,62,21.40948364516216,1.1864275983943742,-0.1982795461011214,-0.110966409304513,0.21073074284819598,0.7015394117670329,-0.17353285792710602,0.31789695038060894,-0.14391853650067754,-0.5620940331833693,0.025383425117487066,-0.6272017941340918,0.7128985042734416,0.027829772344825462,-0.5194801089241731,2.3032,62.0,9025521.55,8942862.72,8462923.76,9614777.28,781292.27,1.7397,rotation
Sam Merrill,1630241,CLE,PG,9.553,2.404,2.205,0.685,0.162,0.841,0.4358,0.8411,1.994,0.4089,2.205,0.162,0.685,1.994,raw_dbb2_flat_file,14.2003,9.61441176470588,4.585888235294119,11.8459,2.2929,0.8342,5.0968,3.805411764705883,1.291388235294117,3.0497,0.6457,0.5984,3.2608,2.461058823529412,0.7997411764705884,2.6049,0.3999,0.7989,0.9439,0.7529411764705882,0.1909588235294117,0.7805,0.0955,0.8269,0.5491,0.4275294117647059,0.1215705882352941,0.2228,0.0608,0.4058,1.6469,1.1886470588235294,0.4582529411764706,1.0701,0.2291,0.6498,0.4691,0.4603,0.0088,0.4402,0.0044,0.9384,0.7828,0.773,0.0098,0.846,0.0049,1.0807,1.6758,1.1414705882352942,0.5343294117647057,2.2612,0.2672,1.3493,0.4773,0.4022529411764706,0.0750470588235294,0.4464,0.0375,0.9353,56,22.373595158151197,1.179493007420913,-0.016441975305995084,-0.28572747260978365,-0.48331193382840254,-0.4158258887632577,-0.661167362843354,1.1649211208196615,-0.6968067685898761,0.18141519882870769,0.9691424604144361,-0.38439758274334734,0.3275152074456397,0.15607318344337393,-0.5250502160643465,2.478,56.0,8965782.48,8892202.5,8412263.53,9518789.48,780237.97,1.6996,rotation
