player_name,team,strict_wins,vorp,strict_wins_rank,vorp_rank,rank_delta,z_delta,percentile_delta,ws_48,win_shares
Brandon Ingram,TOR,8.186,1.7,60.0,63.0,-3.0,0.10837232744306446,-0.010548523206751037,0.084,4.6
Corey Kispert,ATL,8.173,-0.1,61.0,327.0,-266.0,1.6844814794616843,-0.6149789029535865,0.082,1.2
Kevin Huerter,DET,8.16,0.3,62.0,195.0,-133.0,1.3239375515519274,-0.3048523206751055,0.114,1.2
Myron Gardner,MIA,8.133,0.3,63.0,195.0,-132.0,1.3064390881039165,-0.3027426160337553,0.163,1.4
Collin Murray-Boyles,TOR,8.116,1.0,64.0,112.0,-48.0,0.6792137388850299,-0.11075949367088608,0.154,4.0
Kevin Durant,HOU,8.087,4.7,65.0,5.0,60.0,-2.596679268738335,0.12658227848101264,0.18,10.7
Jase Richardson,ORL,8.053,-0.1,66.0,327.0,-261.0,1.6067105308038618,-0.6044303797468354,0.082,1.0
Bones Hyland,MIN,8.039,1.1,67.0,103.0,-36.0,0.5412810280449704,-0.08438818565400844,0.126,3.1
Cameron Payne,PHI,8.036,0.2,68.0,219.0,-151.0,1.3316039233901333,-0.3459915611814346,0.106,0.8
Deni Avdija,POR,8.03,3.5,69.0,11.0,58.0,-1.5772642439353228,0.11919831223628692,0.152,7.0
Sam Hauser,BOS,8.017,1.3,70.0,90.0,-20.0,0.3509636498884563,-0.04957805907172996,0.124,5.0
Devin Vassell,SAS,8.007,1.3,71.0,90.0,-19.0,0.34448273750030456,-0.04746835443037975,0.115,4.9
Ron Harper Jr.,BOS,7.978,0.3,72.0,195.0,-123.0,1.2059849460875627,-0.2837552742616034,0.119,0.8
Derrick Jones Jr.,LAC,7.966,0.5,73.0,169.0,-96.0,1.022148480319201,-0.2151898734177215,0.1,2.8
Jericho Sims,MIL,7.961,-0.4,74.0,429.0,-355.0,1.8111751931867337,-0.7637130801687764,0.117,3.2
Ryan Nembhard,DAL,7.947,-0.6,75.0,453.0,-378.0,1.9781612867459004,-0.8016877637130801,0.031,0.8
Tyrese Maxey,PHI,7.931,4.9,76.0,4.0,72.0,-2.8738408728960843,0.1518987341772152,0.156,8.7
Moses Moody,GSW,7.91,0.7,77.0,141.0,-64.0,0.8097960000429707,-0.149789029535865,0.096,3.1
Amen Thompson,HOU,7.899,3.4,78.0,15.0,63.0,-1.5741345107688227,0.13185654008438819,0.167,10.3
Anthony Edwards,MIN,7.898,3.5,79.0,11.0,68.0,-1.6628122874589275,0.140295358649789,0.147,6.5
Cade Cunningham,DET,7.87,4.6,80.0,6.0,74.0,-2.6492853821099405,0.1561181434599156,0.174,7.9
Danny Wolf,BKN,7.845,-0.2,81.0,379.0,-298.0,1.5599372385815915,-0.6582278481012658,0.032,0.8
Anthony Davis,DAL,7.845,0.7,81.0,141.0,-60.0,0.767670069519983,-0.14029535864978904,0.103,1.3
Jarrett Allen,CLE,7.844,1.8,83.0,56.0,27.0,-0.20130456168302024,0.050632911392405056,0.202,6.4
Kris Dunn,LAC,7.83,0.6,84.0,156.0,-72.0,0.8459783863890452,-0.16455696202531644,0.085,4.0
Jamaree Bouyea,PHX,7.822,0.3,85.0,195.0,-110.0,1.1048827128323933,-0.25632911392405067,0.086,1.1
Keldon Johnson,SAS,7.81,1.4,86.0,83.0,3.0,0.1287790780024224,0.0,0.161,6.4
Jonathan Isaac,ORL,7.781,0.1,87.0,246.0,-159.0,1.25437034294355,-0.3723628691983123,0.085,0.9
Julius Randle,MIN,7.773,2.3,88.0,38.0,50.0,-0.6874674668953482,0.10126582278481014,0.135,7.4
Goga Bitadze,ORL,7.76,1.2,89.0,98.0,-9.0,0.27243388696424264,-0.023206751054852315,0.218,4.4
Zach Collins,CHI,7.757,0.1,90.0,246.0,-156.0,1.2388161532119852,-0.36603375527426163,0.137,0.5
Deandre Ayton,LAL,7.742,0.6,91.0,156.0,-65.0,0.7889463573733084,-0.14978902953586498,0.152,6.2
Mitchell Robinson,NYK,7.697,1.6,92.0,68.0,24.0,-0.12051460288627358,0.04641350210970463,0.236,5.8
Quentin Grimes,PHI,7.688,0.2,93.0,219.0,-126.0,1.1060681722824475,-0.29324894514767935,0.078,3.6
Luke Kornet,SAS,7.687,2.0,94.0,50.0,44.0,-0.47911425707958455,0.08966244725738395,0.231,6.9
Grant Williams,CHA,7.684,0.7,95.0,141.0,-46.0,0.6633273800707378,-0.1118143459915612,0.131,1.9
Jayson Tatum,BOS,7.664,0.9,96.0,122.0,-26.0,0.47430618439185385,-0.06645569620253164,0.148,1.6
Micah Peavy,NOP,7.636,-0.7,97.0,458.0,-361.0,1.8646345969256664,-0.7637130801687764,0.02,0.4
Kobe Sanders,LAC,7.623,-0.3,98.0,409.0,-311.0,1.5040906690159095,-0.6761603375527426,0.051,1.4
Marcus Sasser,DET,7.601,0.0,99.0,282.0,-183.0,1.2257436054081057,-0.4324894514767933,0.085,0.8
Brandon Miller,CHA,7.588,1.8,100.0,56.0,44.0,-0.36721591881970894,0.08649789029535865,0.109,4.5
Saddiq Bey,NOP,7.582,1.4,101.0,83.0,18.0,-0.018985724447440733,0.03164556962025317,0.116,5.4
Isaac Okoro,CHI,7.578,-0.8,102.0,461.0,-359.0,1.9150749905256754,-0.760548523206751,0.061,2.2
Clint Capela,HOU,7.556,0.6,103.0,156.0,-53.0,0.6684013869536831,-0.12447257383966243,0.156,3.0
Jaren Jackson Jr.,UTA,7.549,0.1,104.0,246.0,-142.0,1.1040131755384264,-0.3364978902953587,0.082,0.1
Jalen Williams,OKC,7.532,1.0,105.0,112.0,-7.0,0.3007284554169592,-0.023206751054852315,0.156,3.0
Wendell Carter Jr.,ORL,7.532,0.8,105.0,134.0,-29.0,0.47678782631953887,-0.06645569620253167,0.131,6.2
Chet Holmgren,OKC,7.514,3.1,107.0,20.0,87.0,-1.5595605813588012,0.18143459915611815,0.219,9.1
Karl-Anthony Towns,NYK,7.509,3.1,108.0,20.0,88.0,-1.5628010375528771,0.18354430379746833,0.197,9.5
Luka Garza,BOS,7.505,1.2,109.0,98.0,11.0,0.10717062106636932,0.01898734177215189,0.226,5.3
Lonzo Ball,CLE,7.503,0.2,110.0,219.0,-109.0,0.9861712931016375,-0.25738396624472576,0.042,0.6
Stephen Curry,GSW,7.486,2.5,111.0,30.0,81.0,-1.0495290233378873,0.16772151898734178,0.147,4.1
Tyler Kolek,NYK,7.482,0.3,112.0,195.0,-83.0,0.8845316916352288,-0.19936708860759494,0.093,1.4
Kyle Kuzma,MIL,7.464,-0.1,113.0,327.0,-214.0,1.2249847911417149,-0.5052742616033755,0.051,1.9
Malachi Smith,BKN,7.435,0.1,114.0,246.0,-132.0,1.0301307743134942,-0.3154008438818566,0.094,0.7
Draymond Green,GSW,7.403,0.3,115.0,195.0,-80.0,0.8333324837688284,-0.1930379746835443,0.044,1.7
Jaden McDaniels,MIN,7.401,1.0,116.0,112.0,4.0,0.21582850313216922,-0.0010548523206750926,0.109,5.2
Anfernee Simons,CHI,7.388,-0.1,117.0,327.0,-210.0,1.1757298569917602,-0.49683544303797467,-0.015,-0.1
Donte DiVincenzo,MIN,7.386,1.7,118.0,63.0,55.0,-0.41010066360908737,0.1118143459915612,0.1,5.2
Jalen Duren,DET,7.384,3.5,119.0,11.0,108.0,-1.9959311842099348,0.22468354430379744,0.266,11.0
