player_name,player_id,team,position,PTS,REB,AST,STL,BLK,TO,FG_PCT,FT_PCT,THREE_PM,USG_PCT,ast_pg,blk_pg,stl_pg,threepm_pg,context_neutral_source,league_avg_PTS,team_avg_PTS,context_delta_PTS,context_neutral_PTS,context_neutral_delta_PTS,context_neutral_ratio_PTS,league_avg_REB,team_avg_REB,context_delta_REB,context_neutral_REB,context_neutral_delta_REB,context_neutral_ratio_REB,league_avg_AST,team_avg_AST,context_delta_AST,context_neutral_AST,context_neutral_delta_AST,context_neutral_ratio_AST,league_avg_STL,team_avg_STL,context_delta_STL,context_neutral_STL,context_neutral_delta_STL,context_neutral_ratio_STL,league_avg_BLK,team_avg_BLK,context_delta_BLK,context_neutral_BLK,context_neutral_delta_BLK,context_neutral_ratio_BLK,league_avg_TO,team_avg_TO,context_delta_TO,context_neutral_TO,context_neutral_delta_TO,context_neutral_ratio_TO,league_avg_FG_PCT,team_avg_FG_PCT,context_delta_FG_PCT,context_neutral_FG_PCT,context_neutral_delta_FG_PCT,context_neutral_ratio_FG_PCT,league_avg_FT_PCT,team_avg_FT_PCT,context_delta_FT_PCT,context_neutral_FT_PCT,context_neutral_delta_FT_PCT,context_neutral_ratio_FT_PCT,league_avg_THREE_PM,team_avg_THREE_PM,context_delta_THREE_PM,context_neutral_THREE_PM,context_neutral_delta_THREE_PM,context_neutral_ratio_THREE_PM,league_avg_USG_PCT,team_avg_USG_PCT,context_delta_USG_PCT,context_neutral_USG_PCT,context_neutral_delta_USG_PCT,context_neutral_ratio_USG_PCT
Dwight Powell,203939,DAL,PF,3.044,3.021,0.967,0.438,0.303,0.512,0.5326,0.7,0.119,0.3153,0.967,0.303,0.438,0.119,raw_delquant_flat_file,14.2003,9.4712,4.729100000000001,5.4086,2.3646,0.3809,5.0968,3.9284,1.1684,3.6052,0.5842,0.7073,3.2608,2.088,1.1728,1.5534,0.5864,0.4764,0.9439,0.6827500000000001,0.2611499999999999,0.5686,0.1306,0.6024,0.5491,0.4574,0.09170000000000006,0.3488,0.0458,0.6352,1.6469,1.1912,0.4557,0.7398,0.2278,0.4492,0.4691,0.463675,0.005425000000000013,0.5353,0.0027,1.1411,0.7828,0.755695,0.027105000000000046,0.7136,0.0136,0.9116,1.6758,0.893,0.7827999999999999,0.5104,0.3914,0.3046,0.4773,0.41499499999999995,0.062305000000000055,0.3465,0.0312,0.726
Dalton Knecht,1642261,LAL,SF,5.193,2.159,0.592,0.295,0.245,0.494,0.4564,0.7221,0.729,0.3753,0.592,0.245,0.295,0.729,raw_delquant_flat_file,14.2003,9.564941176470587,4.635358823529414,7.5107,2.3177,0.5289,5.0968,3.6745882352941175,1.4222117647058825,2.8701,0.7111,0.5631,3.2608,2.2321764705882354,1.0286235294117647,1.1063,0.5143,0.3393,0.9439,0.6849411764705883,0.2589588235294117,0.4245,0.1295,0.4497,0.5491,0.36511764705882355,0.18398235294117649,0.337,0.092,0.6137,1.6469,1.2188823529411765,0.4280176470588235,0.708,0.214,0.4299,0.4691,0.46496470588235295,0.00413529411764707,0.4585,0.0021,0.9774,0.7828,0.744035294117647,0.038764705882353034,0.7415,0.0194,0.9472,1.6758,0.9627058823529412,0.7130941176470588,1.0855,0.3565,0.6478,0.4773,0.43051764705882356,0.04678235294117644,0.3987,0.0234,0.8353
Tony Bradley,1628396,ATL,PF,3.964,3.065,0.52,0.208,0.42,0.525,0.5367,0.656,0.117,0.3466,0.52,0.42,0.208,0.117,raw_delquant_flat_file,14.2003,9.143944444444445,5.056355555555555,6.4922,2.5282,0.4572,5.0968,3.657666666666666,1.4391333333333338,3.7846,0.7196,0.7425,3.2608,2.035888888888889,1.224911111111111,1.1325,0.6125,0.3473,0.9439,0.709111111111111,0.23478888888888894,0.3254,0.1174,0.3447,0.5491,0.4205,0.12860000000000005,0.4843,0.0643,0.882,1.6469,1.1113888888888888,0.5355111111111113,0.7928,0.2678,0.4814,0.4691,0.4601722222222222,0.008927777777777812,0.5412,0.0045,1.1537,0.7828,0.7444944444444445,0.03830555555555559,0.6752,0.0192,0.8625,1.6758,1.0002222222222223,0.6755777777777776,0.4548,0.3378,0.2714,0.4773,0.4212388888888889,0.05606111111111112,0.3746,0.028,0.7848
Malaki Branham,1631103,WAS,SF,5.05,1.957,0.89,0.348,0.202,0.678,0.4572,0.7663,0.537,0.376,0.89,0.202,0.348,0.537,raw_delquant_flat_file,14.2003,10.083470588235295,4.116829411764705,7.1084,2.0584,0.5006,5.0968,3.858882352941176,1.2379176470588238,2.576,0.619,0.5054,3.2608,2.2964117647058826,0.9643882352941175,1.3722,0.4822,0.4208,0.9439,0.7468823529411764,0.19701764705882352,0.4465,0.0985,0.473,0.5491,0.4805294117647059,0.0685705882352941,0.2363,0.0343,0.4303,1.6469,1.3768235294117646,0.2700764705882355,0.813,0.135,0.4937,0.4691,0.4529117647058824,0.016188235294117614,0.4653,0.0081,0.9919,0.7828,0.7613705882352941,0.02142941176470592,0.777,0.0107,0.9926,1.6758,1.0793529411764706,0.5964470588235293,0.8352,0.2982,0.4984,0.4773,0.42597058823529416,0.051329411764705846,0.4017,0.0257,0.8416
Myron Gardner,1642066,MIA,SF,3.957,2.514,0.786,0.398,0.281,0.484,0.4641,0.7153,0.444,0.3753,0.786,0.281,0.398,0.444,raw_delquant_flat_file,14.2003,10.5542,3.6461000000000006,5.78,1.823,0.407,5.0968,3.9381333333333335,1.1586666666666665,3.0933,0.5793,0.6069,3.2608,2.4346,0.8262,1.1991,0.4131,0.3677,0.9439,0.7641333333333333,0.17976666666666663,0.4879,0.0899,0.5169,0.5491,0.3908666666666667,0.15823333333333334,0.3601,0.0791,0.6558,1.6469,1.2644666666666666,0.3824333333333334,0.6752,0.1912,0.41,0.4691,0.4581266666666667,0.010973333333333335,0.4696,0.0055,1.0011,0.7828,0.7705466666666667,0.012253333333333338,0.7214,0.0061,0.9216,1.6758,1.1222666666666667,0.5535333333333332,0.7208,0.2768,0.4301,0.4773,0.4400866666666667,0.03721333333333332,0.3939,0.0186,0.8253
Tolu Smith,1642449,DET,SF,4.08,2.53,0.735,0.325,0.343,0.523,0.4647,0.7015,0.333,0.3639,0.735,0.343,0.325,0.333,raw_delquant_flat_file,14.2003,8.7513125,5.448987500000001,6.8045,2.7245,0.4792,5.0968,3.5715,1.5253,3.2926,0.7626,0.646,3.2608,2.12,1.1408,1.3054,0.5704,0.4003,0.9439,0.7265625,0.21733749999999996,0.4337,0.1087,0.4595,0.5491,0.4360625,0.11303750000000001,0.3995,0.0565,0.7276,1.6469,1.1275,0.5194000000000001,0.7827,0.2597,0.4753,0.4691,0.45863750000000003,0.010462499999999986,0.4699,0.0052,1.0017,0.7828,0.7500125,0.03278750000000008,0.7179,0.0164,0.9171,1.6758,0.86675,0.8090499999999999,0.7375,0.4045,0.4401,0.4773,0.41046875,0.06683125000000001,0.3973,0.0334,0.8324
Garrison Mathews,1629726,IND,PG,5.081,1.371,1.074,0.43,0.175,0.456,0.4021,0.8093,1.039,0.3781,1.074,0.175,0.43,1.039,raw_delquant_flat_file,14.2003,9.299555555555555,4.900744444444445,7.5314,2.4504,0.5304,5.0968,3.769944444444444,1.326855555555556,2.0344,0.6634,0.3992,3.2608,2.2429444444444444,1.0178555555555557,1.5829,0.5089,0.4854,0.9439,0.6926111111111112,0.2512888888888888,0.5556,0.1256,0.5886,0.5491,0.4008333333333333,0.1482666666666667,0.2491,0.0741,0.4537,1.6469,1.1437777777777778,0.5031222222222222,0.7076,0.2516,0.4297,0.4691,0.4635222222222223,0.005577777777777737,0.4049,0.0028,0.8631,0.7828,0.7666499999999999,0.01615000000000011,0.8174,0.0081,1.0442,1.6758,0.973388888888889,0.702411111111111,1.3902,0.3512,0.8296,0.4773,0.41789444444444446,0.059405555555555545,0.4078,0.0297,0.8544
Seth Curry,203552,GSW,PG,5.37,1.357,1.142,0.403,0.073,0.457,0.4411,0.8728,0.912,0.3347,1.142,0.073,0.403,0.912,raw_delquant_flat_file,14.2003,9.445555555555556,4.754744444444444,7.7474,2.3774,0.5456,5.0968,3.606555555555556,1.490244444444444,2.1021,0.7451,0.4124,3.2608,2.3485555555555555,0.9122444444444446,1.5981,0.4561,0.4901,0.9439,0.7605555555555555,0.18334444444444442,0.4947,0.0917,0.5241,0.5491,0.41038888888888886,0.13871111111111117,0.1424,0.0694,0.2593,1.6469,1.1836111111111112,0.46328888888888886,0.6886,0.2316,0.4181,0.4691,0.46147777777777776,0.007622222222222252,0.4449,0.0038,0.9484,0.7828,0.7820055555555556,0.000794444444444431,0.8732,0.0004,1.1155,1.6758,1.1357222222222223,0.5400777777777777,1.182,0.27,0.7053,0.4773,0.39902777777777776,0.07827222222222224,0.3738,0.0391,0.7832
Amir Coffey,1629599,PHX,SG,5.125,1.562,1.019,0.409,0.128,0.46,0.4495,0.8252,0.701,0.3759,1.019,0.128,0.409,0.701,raw_delquant_flat_file,14.2003,8.88535294117647,5.314947058823531,7.7825,2.6575,0.5481,5.0968,3.3191764705882356,1.7776235294117644,2.4508,0.8888,0.4809,3.2608,1.9868235294117649,1.2739764705882353,1.656,0.637,0.5079,0.9439,0.6880588235294117,0.25584117647058824,0.5369,0.1279,0.5688,0.5491,0.34911764705882353,0.1999823529411765,0.228,0.1,0.4152,1.6469,1.0747058823529412,0.5721941176470589,0.7461,0.2861,0.453,0.4691,0.4498411764705882,0.019258823529411828,0.4591,0.0096,0.9787,0.7828,0.7384588235294117,0.04434117647058833,0.8474,0.0222,1.0825,1.6758,1.0250588235294116,0.6507411764705884,1.0264,0.3254,0.6125,0.4773,0.41646470588235296,0.06083529411764704,0.4063,0.0304,0.8512
Malevy Leons,1642502,GSW,SF,3.956,2.327,0.762,0.428,0.345,0.551,0.4548,0.7312,0.312,0.3827,0.762,0.345,0.428,0.312,raw_delquant_flat_file,14.2003,9.445555555555556,4.754744444444444,6.3334,2.3774,0.446,5.0968,3.606555555555556,1.490244444444444,3.0721,0.7451,0.6028,3.2608,2.3485555555555555,0.9122444444444446,1.2181,0.4561,0.3736,0.9439,0.7605555555555555,0.18334444444444442,0.5197,0.0917,0.5506,0.5491,0.41038888888888886,0.13871111111111117,0.4144,0.0694,0.7547,1.6469,1.1836111111111112,0.46328888888888886,0.7826,0.2316,0.4752,0.4691,0.46147777777777776,0.007622222222222252,0.4586,0.0038,0.9776,0.7828,0.7820055555555556,0.000794444444444431,0.7316,0.0004,0.9346,1.6758,1.1357222222222223,0.5400777777777777,0.582,0.27,0.3473,0.4773,0.39902777777777776,0.07827222222222224,0.4218,0.0391,0.8837
Dalen Terry,1631207,PHI,SF,3.855,2.039,1.044,0.482,0.296,0.589,0.446,0.6506,0.382,0.3832,1.044,0.296,0.482,0.382,raw_delquant_flat_file,14.2003,9.916666666666666,4.283633333333334,5.9968,2.1418,0.4223,5.0968,3.947611111111111,1.1491888888888888,2.6136,0.5746,0.5128,3.2608,2.145888888888889,1.1149111111111112,1.6015,0.5575,0.4911,0.9439,0.7621666666666667,0.1817333333333333,0.5729,0.0909,0.6069,0.5491,0.4476111111111111,0.1014888888888889,0.3467,0.0507,0.6314,1.6469,1.2115,0.4354,0.8067,0.2177,0.4898,0.4691,0.4532722222222222,0.01582777777777783,0.4539,0.0079,0.9676,0.7828,0.7502888888888889,0.03251111111111116,0.6669,0.0163,0.8519,1.6758,0.9857777777777778,0.6900222222222222,0.727,0.345,0.4338,0.4773,0.41952222222222224,0.05777777777777776,0.4121,0.0289,0.8634
Keaton Wallace,1630811,ATL,PG,4.108,1.287,1.681,0.536,0.147,0.634,0.4022,0.7764,0.668,0.375,1.681,0.147,0.536,0.668,raw_delquant_flat_file,14.2003,9.143944444444445,5.056355555555555,6.6362,2.5282,0.4673,5.0968,3.657666666666666,1.4391333333333338,2.0066,0.7196,0.3937,3.2608,2.035888888888889,1.224911111111111,2.2935,0.6125,0.7034,0.9439,0.709111111111111,0.23478888888888894,0.6534,0.1174,0.6922,0.5491,0.4205,0.12860000000000005,0.2113,0.0643,0.3848,1.6469,1.1113888888888888,0.5355111111111113,0.9018,0.2678,0.5476,0.4691,0.4601722222222222,0.008927777777777812,0.4067,0.0045,0.867,0.7828,0.7444944444444445,0.03830555555555559,0.7956,0.0192,1.0164,1.6758,1.0002222222222223,0.6755777777777776,1.0058,0.3378,0.6002,0.4773,0.4212388888888889,0.05606111111111112,0.403,0.028,0.8443
Micah Peavy,1642877,NOP,SG,4.253,1.645,1.17,0.569,0.126,0.518,0.3954,0.7529,0.507,0.4073,1.17,0.126,0.569,0.507,raw_delquant_flat_file,14.2003,10.4724,3.7279,6.117,1.864,0.4308,5.0968,4.337199999999999,0.7596000000000007,2.0248,0.3798,0.3973,3.2608,2.329333333333333,0.9314666666666671,1.6357,0.4657,0.5016,0.9439,0.7901333333333334,0.1537666666666666,0.6459,0.0769,0.6843,0.5491,0.5034666666666666,0.045633333333333415,0.1488,0.0228,0.271,1.6469,1.3388,0.30810000000000004,0.672,0.154,0.408,0.4691,0.4649933333333333,0.004106666666666703,0.3975,0.0021,0.8474,0.7828,0.7565666666666666,0.026233333333333442,0.766,0.0131,0.9785,1.6758,0.9537333333333333,0.7220666666666666,0.868,0.361,0.518,0.4773,0.4297066666666666,0.047593333333333376,0.4311,0.0238,0.9032
Blake Wesley,1631104,POR,PG,4.246,1.326,1.754,0.502,0.126,0.837,0.4299,0.643,0.379,0.4076,1.754,0.126,0.502,0.379,raw_delquant_flat_file,14.2003,9.020555555555555,5.179744444444445,6.8359,2.5899,0.4814,5.0968,3.5888333333333335,1.5079666666666665,2.08,0.754,0.4081,3.2608,2.1012222222222223,1.1595777777777778,2.3338,0.5798,0.7157,0.9439,0.7107777777777778,0.23312222222222212,0.6186,0.1166,0.6554,0.5491,0.4397777777777778,0.10932222222222221,0.1807,0.0547,0.3291,1.6469,1.2561666666666667,0.3907333333333334,1.0324,0.1954,0.6269,0.4691,0.4412666666666667,0.02783333333333332,0.4438,0.0139,0.9461,0.7828,0.7468,0.03600000000000003,0.661,0.018,0.8444,1.6758,1.005111111111111,0.6706888888888889,0.7143,0.3353,0.4262,0.4773,0.43099444444444446,0.046305555555555544,0.4308,0.0232,0.9026
MarJon Beauchamp,1630699,PHI,SF,4.536,2.165,0.714,0.39,0.252,0.629,0.4463,0.7031,0.586,0.3639,0.714,0.252,0.39,0.586,raw_delquant_flat_file,14.2003,9.916666666666666,4.283633333333334,6.6778,2.1418,0.4703,5.0968,3.947611111111111,1.1491888888888888,2.7396,0.5746,0.5375,3.2608,2.145888888888889,1.1149111111111112,1.2715,0.5575,0.3899,0.9439,0.7621666666666667,0.1817333333333333,0.4809,0.0909,0.5095,0.5491,0.4476111111111111,0.1014888888888889,0.3027,0.0507,0.5513,1.6469,1.2115,0.4354,0.8467,0.2177,0.5141,0.4691,0.4532722222222222,0.01582777777777783,0.4542,0.0079,0.9682,0.7828,0.7502888888888889,0.03251111111111116,0.7194,0.0163,0.919,1.6758,0.9857777777777778,0.6900222222222222,0.931,0.345,0.5556,0.4773,0.41952222222222224,0.05777777777777776,0.3928,0.0289,0.823
Duop Reath,1641871,POR,C,4.205,2.51,0.509,0.263,0.393,0.483,0.465,0.6924,0.534,0.3515,0.509,0.393,0.263,0.534,raw_delquant_flat_file,14.2003,9.020555555555555,5.179744444444445,6.7949,2.5899,0.4785,5.0968,3.5888333333333335,1.5079666666666665,3.264,0.754,0.6404,3.2608,2.1012222222222223,1.1595777777777778,1.0888,0.5798,0.3339,0.9439,0.7107777777777778,0.23312222222222212,0.3796,0.1166,0.4022,0.5491,0.4397777777777778,0.10932222222222221,0.4477,0.0547,0.8153,1.6469,1.2561666666666667,0.3907333333333334,0.6784,0.1954,0.4119,0.4691,0.4412666666666667,0.02783333333333332,0.4789,0.0139,1.0209,0.7828,0.7468,0.03600000000000003,0.7104,0.018,0.9075,1.6758,1.005111111111111,0.6706888888888889,0.8693,0.3353,0.5187,0.4773,0.43099444444444446,0.046305555555555544,0.3747,0.0232,0.785
Carter Bryant,1642868,SAS,SF,4.155,2.448,0.649,0.298,0.335,0.519,0.4342,0.6935,0.517,0.3922,0.649,0.335,0.298,0.517,raw_delquant_flat_file,14.2003,8.8863125,5.3139875,6.812,2.657,0.4797,5.0968,3.6095625,1.4872375,3.1916,0.7436,0.6262,3.2608,2.0776875,1.1831125,1.2406,0.5916,0.3805,0.9439,0.64025,0.30365,0.4498,0.1518,0.4765,0.5491,0.438375,0.11072500000000002,0.3904,0.0554,0.711,1.6469,1.095,0.5519000000000001,0.795,0.276,0.4827,0.4691,0.4674875,0.0016125000000000167,0.435,0.0008,0.9273,0.7828,0.7385375,0.04426250000000009,0.7156,0.0221,0.9142,1.6758,0.9138124999999999,0.7619875,0.898,0.381,0.5359,0.4773,0.421575,0.055725000000000025,0.4201,0.0279,0.8802
