rank,player_name,player_id,team,position,sim_mean_salary,sim_median_salary,sim_p25_salary,sim_p75_salary,sim_salary_std,sim_mean_score,fmv_band,projected_games,minutes,points,rebounds,assists,steals,blocks,turnovers,fg_pct,ft_pct,three_pt_pct,fta,fantasy_points,ceiling,floor,consistency,fga,fgm,tpa,tpm,ftm,usage_rate
22,Scottie Barnes,1630567,TOR,SG,37297107.54,37088616.72,36672669.62,37920510.93,1027615.26,17.3866,star,72,33.6,18.1,7.3,4.7,1.3,1.1,2.4,0.476,0.78,0.322,4.2,38.6,60.7,18.0,68,14.4,6.9,3.6,1.2,3.3,0.5
23,Cooper Flagg,1642843,DAL,SF,37104684.01,37088616.72,36672669.62,37920510.93,1010268.77,17.2989,star,70,32.7,18.3,6.4,3.6,1.1,0.9,2.2,0.459,0.794,0.317,4.5,35.2,57.2,15.3,63,14.8,6.8,3.6,1.1,3.5,0.5
24,Kawhi Leonard,202695,LAC,SF,37062518.71,37088616.72,36256722.52,37504563.83,1006585.79,17.2768,star,62,32.6,21.4,6.4,3.4,1.5,0.5,2.0,0.496,0.845,0.39,4.6,38.2,61.3,17.6,74,15.8,7.8,4.8,1.9,3.9,0.4
25,Nickeil Alexander-Walker,1629638,ATL,PG,36345415.24,36256722.52,35840775.41,37088616.72,1440979.72,16.9748,star,75,30.6,15.7,3.4,3.8,1.1,0.4,1.8,0.451,0.852,0.386,3.0,28.2,44.1,13.6,68,12.2,5.5,5.7,2.2,2.6,0.5
26,Victor Wembanyama,1641705,SAS,PF,35331234.88,35840775.41,35008881.21,36256722.52,1974654.33,16.609,star,62,31.6,21.1,9.3,3.2,1.1,2.3,2.6,0.483,0.803,0.347,5.2,44.7,69.9,20.8,66,15.7,7.6,5.2,1.8,4.2,0.5
27,Trey Murphy III,1630530,NOP,SF,33219914.05,34592934.1,28455048.0,35424828.31,3277148.56,16.1845,core,64,33.9,19.0,6.0,3.2,1.2,0.6,1.8,0.464,0.831,0.368,4.0,34.5,53.2,16.3,70,14.3,6.6,6.4,2.3,3.3,0.5
28,Paolo Banchero,1631094,ORL,SF,33109501.42,34592934.1,28455048.0,35424828.31,3276637.03,16.1633,core,66,34.1,20.8,7.4,4.2,0.9,0.7,2.7,0.462,0.756,0.327,6.5,38.1,58.9,18.4,68,15.8,7.3,4.1,1.3,4.9,0.5
29,Dyson Daniels,1630700,ATL,PG,32875472.51,34592934.1,28455048.0,35424828.31,3382656.72,16.1223,core,71,32.0,13.7,5.2,4.8,1.8,0.4,1.9,0.475,0.736,0.329,2.5,31.9,49.5,15.2,67,11.4,5.4,3.1,1.0,1.8,0.5
30,Toumani Camara,1641739,POR,SF,32847300.1,34592934.1,28455048.0,35424828.31,3407992.81,16.1323,core,76,32.2,13.9,5.9,2.5,1.2,0.6,1.8,0.457,0.759,0.364,2.7,28.2,43.5,13.3,68,11.1,5.1,4.7,1.7,2.1,0.5
31,Matas Buzelis,1641824,CHI,SF,30196789.17,28199080.55,27687145.66,34592934.1,3525181.94,15.7648,core,75,28.5,14.9,5.7,2.2,0.8,1.1,1.8,0.463,0.778,0.35,3.3,28.8,45.4,13.5,61,11.7,5.4,4.4,1.5,2.5,0.5
32,Karl-Anthony Towns,1626157,NYK,PF,29266678.12,27943113.1,27431178.21,28455048.0,3209614.47,15.6341,core,69,32.3,19.6,10.8,2.9,0.8,1.0,2.4,0.513,0.812,0.389,5.1,39.9,61.5,19.8,73,13.8,7.1,3.3,1.3,4.2,0.5
33,Payton Pritchard,1630202,BOS,PG,29137542.54,27943113.1,27175210.76,28455048.0,3122846.86,15.615,core,75,30.8,15.7,3.9,4.5,0.9,0.2,1.5,0.459,0.842,0.382,2.2,28.8,44.5,14.1,65,12.5,5.7,6.1,2.3,1.9,0.5
34,Josh Hart,1628404,NYK,PG,28896501.19,27943113.1,27175210.76,28455048.0,3039695.15,15.5736,core,67,32.9,13.5,6.5,4.9,1.2,0.3,2.0,0.473,0.793,0.37,2.6,31.3,49.3,14.6,68,10.6,5.0,4.0,1.5,2.0,0.5
35,Kon Knueppel,1642851,CHA,SG,27217381.4,26919243.31,26151340.97,27687145.66,2092544.79,15.1936,core,77,31.8,17.4,4.8,4.2,0.9,0.3,2.2,0.458,0.823,0.398,3.3,30.9,46.2,15.6,66,13.4,6.1,6.1,2.4,2.7,0.6
36,Austin Reaves,1630559,LAL,PG,26975012.22,26663275.86,25895373.52,27687145.66,1866349.23,15.1319,core,61,33.8,19.5,4.3,5.3,1.1,0.3,2.5,0.469,0.858,0.367,5.0,34.5,53.8,16.6,64,13.9,6.5,5.8,2.1,4.3,0.5
37,Jabari Smith Jr.,1631095,HOU,SF,26915147.83,26919243.31,25895373.52,27431178.21,1532213.49,15.1633,core,70,33.0,15.4,7.0,2.1,0.8,0.8,1.6,0.456,0.779,0.358,3.3,30.2,47.2,14.1,73,12.3,5.6,4.7,1.7,2.5,0.5
38,Jaden McDaniels,1630183,MIN,SF,26889897.71,26663275.86,25895373.52,27431178.21,1678693.79,15.126,core,72,32.2,14.9,5.4,2.5,1.1,0.8,1.7,0.485,0.794,0.364,2.9,29.3,45.2,13.8,60,11.6,5.6,3.6,1.3,2.3,0.5
39,Josh Giddey,1630581,CHI,PG,26770366.24,26663275.86,25895373.52,27431178.21,1703012.22,15.0902,core,60,31.3,16.1,6.4,6.5,1.1,0.5,2.8,0.454,0.789,0.364,3.6,35.4,54.8,16.9,62,12.8,5.8,4.5,1.6,2.8,0.5
40,CJ McCollum,203468,ATL,PG,26184024.81,25895373.52,25383438.62,26919243.31,1421323.08,14.8654,core,69,31.6,18.0,3.7,4.4,1.0,0.4,1.9,0.45,0.797,0.382,3.1,31.3,49.4,14.3,72,14.6,6.6,6.4,2.4,2.5,0.5
