rank,player_name,player_id,team,position,sim_mean_salary,sim_median_salary,sim_p25_salary,sim_p75_salary,sim_salary_std,sim_mean_score,fmv_band,projected_games,minutes,points,rebounds,assists,steals,blocks,turnovers,fg_pct,ft_pct,three_pt_pct,fta,fantasy_points,ceiling,floor,consistency,fga,fgm,tpa,tpm,ftm,usage_rate
93,AJ Green,1631260,MIL,PG,16768864.81,16824527.07,16184608.45,17304466.03,646775.5,7.5939,starter,71,27.6,11.9,3.1,2.9,0.8,0.2,1.3,0.438,0.825,0.4,1.9,21.5,33.3,10.5,60,9.4,4.1,5.3,2.1,1.6,0.5
94,Ryan Rollins,1631157,MIL,PG,16756695.69,16824527.07,16184608.45,17304466.03,642022.97,7.4706,starter,61,26.7,13.8,3.6,4.1,1.2,0.3,2.0,0.462,0.804,0.388,2.6,26.9,41.7,12.8,62,11.0,5.1,4.1,1.6,2.1,0.5
95,Lauri Markkanen,1628374,UTA,PF,16748046.13,16824527.07,16184608.45,17304466.03,662760.08,7.513,starter,52,33.3,20.9,6.8,2.3,1.0,0.5,1.7,0.467,0.851,0.361,4.9,35.3,53.9,17.8,68,15.5,7.2,6.1,2.2,4.2,0.5
96,Chet Holmgren,1631096,OKC,PF,16743257.4,16824527.07,16184608.45,17304466.03,663154.73,7.4852,starter,61,30.0,16.3,8.9,2.1,0.7,1.8,1.8,0.532,0.744,0.368,4.2,36.0,53.9,19.2,68,11.5,6.1,2.7,1.0,3.2,0.5
97,Davion Mitchell,1630558,MIA,PG,16602325.99,16664547.41,16024628.79,17144486.38,693296.52,7.2738,starter,70,28.6,11.7,2.9,5.0,1.0,0.2,1.7,0.462,0.783,0.379,2.0,24.5,38.3,11.8,67,9.4,4.3,3.7,1.4,1.6,0.5
98,Kyshawn George,1642273,WAS,SF,16524474.56,16504567.76,16024628.79,16984506.72,684880.56,7.2182,starter,54,30.3,14.6,5.7,3.3,1.0,0.8,2.1,0.445,0.775,0.355,3.2,29.8,46.6,13.9,55,11.8,5.3,4.5,1.6,2.5,0.5
99,Russell Westbrook,201566,SAC,PG,16335154.64,16344588.1,15864649.14,16824527.07,711717.42,7.0501,starter,65,28.6,13.4,4.5,6.1,1.3,0.3,2.6,0.439,0.747,0.341,2.8,30.0,47.0,13.3,66,11.1,4.9,4.5,1.5,2.1,0.4
100,Anthony Davis,203076,DAL,PF,16020314.67,16024628.79,15544689.83,16504567.76,718178.96,6.831,starter,45,32.6,20.0,9.4,3.1,1.1,1.4,2.0,0.504,0.775,0.327,4.9,41.4,65.9,19.0,67,15.3,7.7,2.5,0.8,3.8,0.5
101,Collin Gillespie,1631221,PHX,PG,16019296.14,16024628.79,15384710.17,16504567.76,744483.81,6.8392,starter,59,26.2,12.6,3.5,4.0,1.1,0.2,1.6,0.439,0.825,0.388,2.2,25.1,38.8,12.3,61,10.2,4.5,4.8,1.9,1.8,0.5
102,Jaren Jackson Jr.,1628991,UTA,PF,15989326.62,15864649.14,15384710.17,16504567.76,744667.36,6.8152,starter,57,31.8,19.2,6.2,2.4,1.1,1.2,2.2,0.471,0.788,0.355,4.7,35.1,54.2,16.9,69,14.8,7.0,4.5,1.6,3.7,0.5
103,Jayson Tatum,1628369,BOS,SG,15941929.98,15864649.14,15384710.17,16504567.76,719825.65,6.7947,starter,47,34.0,21.3,8.2,4.4,1.1,0.5,2.3,0.448,0.808,0.346,5.1,40.3,61.5,20.3,70,16.5,7.4,6.8,2.4,4.1,0.5
104,Keegan Murray,1631099,SAC,SF,15882588.19,15864649.14,15384710.17,16344588.1,708641.44,6.7438,starter,51,33.9,15.3,6.3,2.2,1.0,1.0,1.5,0.449,0.785,0.329,2.8,30.8,47.5,14.5,61,12.8,5.8,4.8,1.6,2.2,0.5
105,Derik Queen,1642852,NOP,C,15877186.21,15864649.14,15384710.17,16344588.1,729693.69,6.7451,starter,74,23.4,10.3,6.7,2.4,0.8,1.0,1.8,0.504,0.746,0.292,2.8,25.5,45.9,6.9,63,7.9,4.0,0.9,0.3,2.1,0.4
106,Zach LaVine,203897,SAC,PG,15784915.28,15704669.48,15224730.52,16344588.1,732309.28,6.6764,starter,51,33.3,18.9,3.8,3.9,0.9,0.3,2.2,0.47,0.847,0.39,3.7,30.8,48.0,14.6,67,14.3,6.7,6.0,2.3,3.2,0.5
107,Donovan Clingan,1642270,POR,C,15557829.49,15544689.83,15064750.86,16024628.79,678631.21,6.5348,starter,71,23.2,9.3,8.4,1.5,0.6,1.4,1.2,0.528,0.664,0.333,2.2,26.3,46.6,8.1,68,6.9,3.7,1.5,0.5,1.5,0.4
108,RJ Barrett,1629628,TOR,SG,15508315.79,15384710.17,15064750.86,15864649.14,661225.91,6.5033,starter,61,32.1,18.9,6.1,3.5,0.9,0.5,2.1,0.478,0.724,0.348,4.8,33.6,51.8,15.8,80,14.6,7.0,4.4,1.5,3.5,0.5
109,Tobias Harris,202699,DET,SF,15096746.79,14904771.21,14744791.55,15384710.17,554047.22,6.2026,starter,63,26.7,11.6,5.0,2.2,0.8,0.5,1.1,0.469,0.838,0.36,2.1,23.8,42.6,6.9,73,9.3,4.4,3.0,1.1,1.8,0.4
110,Joel Embiid,203954,PHI,PF,14979001.77,14904771.21,14584811.9,15224730.52,533687.53,6.0955,starter,43,31.7,22.1,9.0,3.6,0.7,1.3,2.6,0.496,0.823,0.336,7.2,41.7,61.3,23.1,72,15.4,7.6,2.8,0.9,5.9,0.5
111,Herbert Jones,1630529,NOP,SF,14544497.02,14584811.9,14264852.59,14744791.55,415716.18,5.675,starter,55,31.3,12.6,4.9,2.9,1.4,0.6,1.6,0.447,0.797,0.338,2.6,27.1,42.1,13.6,65,10.3,4.6,3.8,1.3,2.1,0.5
112,Domantas Sabonis,1627734,SAC,PF,14424314.97,14424832.24,14104872.93,14584811.9,417712.69,5.5345,starter,47,32.6,16.9,10.2,4.4,0.9,0.4,2.5,0.528,0.746,0.34,4.1,37.4,58.1,18.0,72,12.4,6.5,2.3,0.8,3.1,0.5
113,Andrew Nembhard,1629614,IND,SG,14186462.56,14227524.0,13944893.28,14424832.24,389736.62,5.2505,starter,61,31.0,14.9,3.4,5.6,1.1,0.2,2.1,0.451,0.818,0.355,3.3,29.3,45.3,14.4,66,11.9,5.4,4.3,1.5,2.7,0.5
114,Dillon Brooks,1628415,PHX,SG,14102899.85,14104872.93,13904898.36,14424832.24,373441.97,5.1614,starter,62,31.9,16.7,3.7,2.9,1.0,0.2,1.7,0.438,0.834,0.366,3.1,27.7,43.2,13.1,67,13.8,6.1,5.6,2.1,2.5,0.5
115,Julian Champagnie,1630577,SAS,SF,14008719.83,13944893.28,13784913.62,14264852.59,359033.94,5.049,starter,72,23.4,9.3,4.5,1.4,0.7,0.5,0.9,0.441,0.792,0.37,1.6,19.4,35.5,4.8,65,7.3,3.2,4.2,1.5,1.3,0.4
116,Collin Sexton,1629012,CHI,PG,13841317.12,13784913.62,13624933.97,14104872.93,358291.02,4.7976,starter,65,24.2,13.8,2.5,3.4,0.9,0.2,1.8,0.469,0.848,0.389,3.1,23.2,41.2,6.4,73,10.4,4.9,3.7,1.5,2.6,0.4
117,Duncan Robinson,1629130,DET,SF,13698551.27,13624933.97,13464954.31,13944893.28,351556.8,4.52,starter,70,24.6,10.3,3.1,2.0,0.6,0.3,1.0,0.451,0.782,0.397,1.3,18.7,33.6,4.9,73,8.1,3.6,5.1,2.0,1.0,0.4
118,Ja Morant,1629630,MEM,PG,13672069.31,13624933.97,13459621.66,13944893.28,367167.43,4.3775,starter,38,31.1,18.9,3.9,6.2,1.2,0.3,2.9,0.439,0.847,0.32,4.9,34.5,53.4,16.9,67,15.1,6.6,4.8,1.5,4.1,0.5
119,Jalen Williams,1631114,OKC,SG,13662294.55,13624933.97,13304974.66,13971556.55,378354.57,4.2755,starter,51,31.3,18.0,4.5,4.9,1.3,0.4,2.0,0.476,0.817,0.36,3.8,33.7,52.6,15.9,77,14.1,6.7,3.9,1.4,3.1,0.5
120,Kel'el Ware,1642276,MIA,C,13604365.92,13624933.97,13304974.66,13971556.55,448413.86,4.0806,starter,70,22.0,9.7,7.5,1.0,0.6,1.0,1.0,0.539,0.693,0.365,1.7,24.2,43.5,6.5,60,7.3,4.0,1.7,0.6,1.1,0.4
121,Kevin Porter Jr.,1629645,MIL,SG,13582102.08,13624933.97,13304974.66,13971556.55,473890.15,3.9759,starter,51,30.1,15.6,4.4,5.2,1.5,0.4,2.3,0.455,0.833,0.345,3.5,31.9,49.9,15.1,62,12.4,5.7,3.9,1.3,2.9,0.5
122,Ayo Dosunmu,1630245,MIN,PG,13579531.74,13624933.97,13304974.66,13971556.55,498539.43,3.9922,starter,61,26.0,11.6,3.0,3.3,0.8,0.3,1.3,0.481,0.823,0.385,1.8,22.3,40.1,5.9,66,9.1,4.4,3.6,1.4,1.5,0.4
123,Bennedict Mathurin,1631097,LAC,SG,13560723.47,13587605.38,13304974.66,13971556.55,480112.52,3.913,starter,60,30.8,16.7,4.7,3.3,0.9,0.3,2.1,0.445,0.838,0.347,4.6,28.9,44.8,13.8,63,12.8,5.7,4.3,1.5,3.9,0.5
124,Marcus Smart,203935,LAL,PG,13538390.31,13587605.38,13203654.21,13944893.28,490517.92,3.9554,starter,53,29.0,13.0,3.1,4.0,1.3,0.3,2.0,0.427,0.818,0.351,2.8,25.6,40.6,11.8,66,10.5,4.5,5.0,1.8,2.3,0.5
125,Harrison Barnes,203084,SAS,SF,13442423.84,13464954.31,13144995.0,13843572.83,563851.02,3.7665,starter,71,24.7,9.8,3.5,1.7,0.6,0.2,0.8,0.467,0.798,0.393,1.8,18.1,32.4,5.3,69,7.4,3.4,3.6,1.4,1.4,0.4
126,Coby White,1629632,CHA,PG,13430484.03,13464954.31,13144995.0,13843572.83,586145.09,3.7542,starter,56,26.7,14.6,3.3,3.6,0.7,0.2,1.9,0.444,0.835,0.366,3.2,24.8,44.6,6.6,74,11.2,5.0,5.3,2.0,2.7,0.4
127,Draymond Green,203110,GSW,SF,13029433.7,13203654.21,12563735.59,13587605.38,753857.16,3.4268,starter,64,25.1,8.0,5.2,4.0,0.9,0.6,1.9,0.44,0.721,0.342,1.5,22.8,40.8,6.8,77,6.7,2.9,3.1,1.1,1.1,0.4
128,Anfernee Simons,1629014,CHI,PG,12881473.85,12947686.76,12307768.14,13459621.66,771747.68,3.335,starter,56,26.3,13.8,2.7,3.3,0.7,0.2,1.6,0.433,0.867,0.374,2.0,22.9,41.3,6.1,72,11.4,4.9,5.7,2.1,1.8,0.4
129,Tre Jones,1630200,CHI,PG,12830634.98,12947686.76,12307768.14,13459621.66,816031.4,3.3173,starter,60,23.9,10.2,2.9,4.1,0.9,0.2,1.2,0.497,0.826,0.348,2.2,22.0,39.6,5.9,70,7.7,3.8,2.3,0.8,1.8,0.4
130,Jalen Suggs,1630591,ORL,PG,12750391.85,12819703.03,12179784.41,13331637.93,801201.4,3.2685,starter,54,25.2,11.8,3.3,3.6,1.3,0.5,2.0,0.432,0.825,0.344,2.1,24.6,45.7,6.1,72,9.8,4.2,4.8,1.7,1.7,0.4
131,Jarrett Allen,1628386,CLE,C,12727330.78,12819703.03,12179784.41,13331637.93,784797.55,3.2315,starter,61,25.7,12.2,8.0,1.7,0.8,0.9,1.2,0.621,0.706,0.269,3.3,28.2,51.0,8.2,71,7.8,4.9,0.3,0.1,2.4,0.4
132,Bobby Portis,1626171,MIL,SF,12621864.19,12691719.31,12179784.41,13203654.21,798726.68,3.1817,starter,62,23.4,11.4,6.0,1.6,0.7,0.4,1.0,0.477,0.763,0.409,1.3,22.9,41.2,6.1,71,9.4,4.5,3.2,1.3,1.0,0.4
133,Kyle Kuzma,1628398,MIL,SF,12472237.89,12563735.59,11923816.97,13075670.48,809692.89,3.098,starter,65,25.9,12.7,4.9,2.3,0.6,0.4,1.7,0.465,0.719,0.339,2.5,23.5,42.2,7.0,69,10.3,4.8,3.6,1.2,1.8,0.4
134,Naz Reid,1629675,MIN,PF,12467238.52,12563735.59,11923816.97,13075670.48,836764.27,3.1006,starter,71,24.3,11.5,6.0,1.7,0.7,1.0,1.4,0.478,0.709,0.374,1.9,24.9,44.3,7.3,73,9.2,4.4,3.6,1.3,1.3,0.4
135,Kelly Oubre Jr.,1626162,PHI,SG,12333111.58,12307768.14,11667849.52,12947686.76,848272.63,3.025,starter,57,32.4,15.1,5.8,2.1,1.2,0.6,1.5,0.464,0.767,0.342,3.3,29.0,45.4,14.0,64,12.0,5.6,4.1,1.4,2.6,0.5
136,Ty Jerome,1629660,MEM,SG,12314196.65,12307768.14,11795833.24,12947686.76,813314.98,3.0059,starter,32,21.8,13.0,2.7,3.7,1.0,0.2,1.4,0.468,0.854,0.404,2.4,23.8,43.1,6.5,76,9.9,4.6,4.4,1.8,2.0,0.4
137,Zach Edey,1641744,MEM,C,12265909.46,12307768.14,11667849.52,12819703.03,815052.41,2.9736,starter,35,22.9,10.2,8.1,1.2,0.6,1.3,1.5,0.578,0.718,0.309,2.3,25.8,47.2,7.0,59,7.1,4.1,0.7,0.2,1.7,0.4
138,Myles Turner,1626167,MIL,PF,12214033.39,12179784.41,11667849.52,12819703.03,795810.89,2.9434,starter,68,25.6,11.6,6.1,1.3,0.6,1.5,1.3,0.487,0.736,0.381,2.6,25.9,45.2,8.3,71,8.6,4.2,3.4,1.3,1.9,0.4
139,Kyle Filipowski,1642271,UTA,C,12195870.37,12179784.41,11539865.79,12691719.31,802145.56,2.9269,starter,71,22.2,9.7,6.6,1.8,0.7,0.7,1.4,0.509,0.699,0.334,2.4,23.3,41.1,7.1,61,7.3,3.7,2.0,0.7,1.7,0.4
140,Nic Claxton,1629651,BKN,C,12160800.16,12179784.41,11539865.79,12691719.31,802709.47,2.9212,starter,66,25.3,10.0,7.0,2.2,0.7,1.2,1.3,0.562,0.608,0.269,2.6,26.1,46.4,7.6,70,7.4,4.2,0.3,0.1,1.6,0.4
141,Bub Carrington,1642267,WAS,PG,11996842.35,11923816.97,11411882.07,12563735.59,790633.72,2.8162,rotation,74,25.6,9.6,3.3,3.7,0.7,0.2,1.8,0.418,0.761,0.367,1.4,20.1,37.3,4.4,73,8.3,3.5,4.1,1.5,1.1,0.4
142,Maxime Raynaud,1642875,SAC,C,11934927.55,11923816.97,11411882.07,12449083.5,768118.88,2.7583,rotation,70,24.0,10.4,6.9,1.3,0.6,0.8,1.2,0.556,0.728,0.327,2.2,23.5,43.0,6.4,65,7.7,4.3,0.9,0.3,1.6,0.4
143,Grant Williams,1629684,CHA,SF,11741056.21,11777168.95,11155914.62,12307768.14,741922.4,2.5926,rotation,42,23.5,8.8,4.4,1.7,0.7,0.5,1.1,0.455,0.784,0.374,1.9,19.1,34.3,5.1,73,6.7,3.0,3.4,1.3,1.5,0.4
144,Julian Reese,1642882,WAS,SF,11726911.34,11667849.52,11155914.62,12225111.98,712999.89,2.5917,rotation,32,32.4,16.4,7.4,3.0,1.1,0.8,2.2,0.476,0.752,0.347,4.1,33.3,52.1,15.5,61,12.7,6.1,3.4,1.2,3.1,0.5
145,Jeremiah Fears,1642847,NOP,PG,11705634.05,11667849.52,11143249.56,12225111.98,734404.98,2.5814,rotation,74,23.6,11.2,3.2,3.0,1.0,0.3,1.8,0.429,0.783,0.337,2.3,21.5,40.2,4.2,66,9.7,4.2,3.4,1.1,1.8,0.4
146,Reed Sheppard,1642263,HOU,PG,11509925.6,11441211.67,11019265.34,12051800.69,666356.77,2.3248,rotation,69,21.0,9.3,2.5,2.5,1.0,0.4,1.2,0.42,0.792,0.372,1.2,19.1,35.7,4.0,61,8.1,3.4,4.3,1.6,0.9,0.4
147,De'Anthony Melton,1629001,GSW,PG,11492925.1,11539865.79,10969938.27,12001140.47,665795.03,2.269,rotation,44,23.3,10.4,3.0,2.7,1.2,0.3,1.4,0.413,0.822,0.337,2.0,21.3,37.9,5.9,68,8.9,3.7,4.3,1.4,1.6,0.4
148,Cormac Ryan,1642504,MIL,PG,11476911.13,11411882.07,11019265.34,12001140.47,632222.09,2.2993,rotation,28,22.2,10.1,2.7,2.5,0.9,0.2,1.3,0.457,0.842,0.388,1.7,19.1,33.9,5.3,45,7.8,3.6,3.9,1.5,1.5,0.4
149,Cedric Coward,1642907,MEM,PG,11403941.75,11411882.07,10881282.88,12001140.47,691169.96,2.098,rotation,60,23.2,10.8,4.1,2.6,0.7,0.3,1.4,0.453,0.817,0.346,2.1,21.3,40.4,4.2,72,8.7,3.9,3.7,1.3,1.7,0.4
150,Trae Young,1629027,WAS,PG,11389735.55,11441211.67,10881282.88,12001140.47,711339.02,2.0235,rotation,42,27.0,16.1,2.5,6.7,1.0,0.2,2.6,0.433,0.842,0.351,4.7,30.0,53.2,8.2,73,11.9,5.1,5.3,1.9,4.0,0.4
151,Klay Thompson,202691,DAL,PG,11379166.23,11411882.07,10881282.88,12001140.47,709969.35,1.962,rotation,65,23.4,11.4,2.6,2.1,0.6,0.3,1.1,0.415,0.834,0.382,1.2,19.4,35.7,5.0,74,9.8,4.1,5.9,2.3,1.0,0.4
152,Malik Monk,1628370,SAC,PG,11340909.76,11411882.07,10771963.45,12001140.47,708012.12,1.9462,rotation,61,24.3,12.2,2.6,3.5,0.7,0.4,1.6,0.437,0.845,0.363,2.0,22.5,40.6,6.2,65,10.1,4.4,4.7,1.7,1.7,0.4
153,Aaron Nesmith,1630174,IND,SG,11314566.44,11329225.91,10771963.45,11889154.71,703062.92,1.9204,rotation,52,30.2,14.7,4.1,3.0,0.9,0.4,1.6,0.45,0.828,0.385,2.9,26.7,41.3,13.1,65,11.6,5.2,5.1,2.0,2.4,0.5
154,Deandre Ayton,1629028,LAL,C,11305372.95,11329225.91,10771963.45,11889154.71,719355.78,1.9248,rotation,62,26.1,11.4,8.0,1.2,0.7,1.0,1.3,0.59,0.676,0.276,1.9,26.3,47.5,7.6,69,8.5,5.0,0.4,0.1,1.3,0.4
155,Scotty Pippen Jr.,1630590,MEM,PG,11303415.86,11329225.91,10771963.45,11943147.85,742172.19,1.9166,rotation,35,21.9,10.1,2.7,3.6,1.3,0.3,1.8,0.452,0.772,0.361,2.0,21.7,39.5,5.5,78,8.2,3.7,3.1,1.1,1.5,0.4
156,Jalen Green,1630224,PHX,PG,11266215.26,11250569.25,10769297.12,11889154.71,770588.08,1.829,rotation,51,26.1,14.7,3.6,2.9,0.9,0.3,1.9,0.425,0.784,0.336,2.7,25.0,46.4,6.2,66,12.7,5.4,5.6,1.9,2.1,0.4
157,Scoot Henderson,1630703,POR,PG,11172869.8,11217240.16,10643979.72,11777168.95,779353.48,1.776,rotation,45,24.0,11.5,2.8,3.6,0.8,0.2,2.1,0.417,0.804,0.35,2.6,21.4,40.4,4.2,75,9.6,4.0,4.0,1.4,2.1,0.4
158,Dylan Harper,1642844,SAS,PG,11126521.03,11105254.4,10626648.59,11777168.95,771776.54,1.7394,rotation,66,22.1,10.1,3.1,3.1,0.8,0.3,1.4,0.467,0.765,0.342,1.7,20.4,37.8,4.5,72,8.4,3.9,2.8,1.0,1.3,0.4
159,Ace Bailey,1642846,UTA,SF,11075191.55,11105254.4,10515996.0,11777168.95,817813.67,1.665,rotation,68,24.4,11.1,4.2,1.5,0.8,0.6,1.3,0.449,0.729,0.341,1.6,21.3,38.4,6.0,62,9.6,4.3,3.9,1.3,1.2,0.4
160,Luke Kennard,1628379,LAL,PG,11064814.21,11027930.9,10515996.0,11777168.95,815925.12,1.6718,rotation,65,22.4,8.9,2.6,2.7,0.7,0.1,1.1,0.468,0.853,0.425,1.2,17.5,31.0,5.2,63,6.8,3.2,3.6,1.5,1.0,0.4
161,Cam Thomas,1630560,MIL,PG,11033823.48,10993268.64,10515996.0,11667849.52,823647.4,1.6573,rotation,45,24.1,14.0,2.6,2.8,0.6,0.2,1.7,0.43,0.832,0.343,3.4,21.9,40.6,5.4,66,11.2,4.8,4.4,1.5,2.8,0.4
162,John Collins,1628381,LAC,PF,10938014.33,10993268.64,10382679.62,11553197.43,820372.12,1.5857,rotation,61,25.6,12.7,5.8,1.3,0.8,0.7,1.4,0.519,0.788,0.388,2.4,24.6,44.2,6.5,74,9.3,4.8,3.0,1.2,1.9,0.4
163,Bez Mbeng,1643016,UTA,PG,10898837.98,10881282.88,10382679.62,11465875.2,810004.72,1.5437,rotation,33,32.4,15.0,4.3,4.7,1.4,0.3,2.1,0.458,0.789,0.344,3.2,30.4,46.9,14.7,44,12.0,5.5,4.3,1.5,2.6,0.5
164,Cason Wallace,1641717,OKC,PG,10837611.1,10769297.12,10209368.33,11553197.43,853025.34,1.5063,rotation,69,23.9,8.3,2.8,2.4,1.3,0.4,1.0,0.444,0.787,0.36,1.1,19.2,36.4,3.8,66,7.1,3.1,3.2,1.1,0.8,0.4
165,Keldon Johnson,1629640,SAS,SG,10701951.02,10657311.36,10094716.24,11329225.91,855084.68,1.4201,rotation,73,23.5,11.5,4.9,1.6,0.6,0.3,1.0,0.487,0.767,0.348,2.3,21.6,38.5,6.4,73,8.9,4.3,3.1,1.1,1.8,0.4
166,Kennedy Chandler,1631113,UTA,PG,10687235.56,10657311.36,10094716.24,11329225.91,871278.27,1.4088,rotation,31,32.1,16.6,4.2,5.1,1.1,0.3,2.2,0.452,0.785,0.367,3.7,31.5,48.8,15.0,55,13.2,6.0,4.7,1.7,2.9,0.5
167,Jonathan Kuminga,1630228,ATL,SF,10628976.3,10545325.6,9985396.81,11329225.91,888069.24,1.3785,rotation,46,22.8,11.4,4.8,1.8,0.7,0.4,1.4,0.471,0.709,0.33,3.0,21.8,40.1,5.0,68,8.9,4.2,2.5,0.8,2.1,0.4
168,Sam Hauser,1630573,BOS,SF,10614034.2,10545325.6,9985396.81,11217240.16,853629.72,1.3692,rotation,71,22.7,8.8,3.9,1.3,0.6,0.3,0.6,0.447,0.766,0.398,0.8,17.3,31.2,4.6,67,7.0,3.1,4.6,1.8,0.6,0.4
169,Malachi Smith,1641869,BKN,PG,10580545.12,10530660.8,9873411.05,11217240.16,880623.32,1.3552,rotation,30,22.4,8.9,2.8,2.8,0.8,0.3,1.2,0.446,0.815,0.373,1.4,18.5,33.4,4.9,61,7.3,3.3,3.3,1.2,1.2,0.4
170,Tristan da Silva,1641783,ORL,SF,10570583.72,10545325.6,9985396.81,11105254.4,849086.16,1.3372,rotation,70,22.5,8.6,3.9,1.4,0.7,0.4,0.9,0.45,0.79,0.357,1.4,17.7,32.5,4.4,63,7.1,3.2,3.0,1.1,1.1,0.4
171,Jaden Ivey,1631093,CHI,PG,10516939.88,10478667.41,9902740.66,11105254.4,832194.67,1.3177,rotation,43,22.8,10.8,2.9,2.7,0.8,0.3,1.6,0.442,0.765,0.37,2.2,20.1,37.3,5.0,74,8.8,3.9,3.7,1.4,1.7,0.4
172,Kris Dunn,1627739,LAC,PG,10396181.9,10321354.09,9761425.29,10881282.88,792403.88,1.2263,rotation,70,23.3,7.1,2.9,3.1,1.2,0.2,1.2,0.446,0.777,0.359,1.0,18.4,33.6,4.8,75,6.0,2.7,2.7,1.0,0.7,0.4
173,Miles McBride,1630540,NYK,PG,10299314.22,10286691.83,9649439.53,10771963.45,850631.7,1.1815,rotation,50,23.4,9.8,2.4,2.5,0.9,0.2,0.9,0.426,0.801,0.391,1.3,18.7,34.2,4.7,70,8.2,3.5,4.5,1.8,1.0,0.4
174,Javon Small,1642914,MEM,PG,10269478.02,10209368.33,9649439.53,10670643.0,801853.45,1.1403,rotation,47,21.3,9.3,2.9,3.0,0.8,0.2,1.3,0.447,0.806,0.382,1.8,19.1,35.1,4.5,61,7.3,3.3,3.3,1.3,1.5,0.4
175,Dennis Schröder,203471,CLE,PG,10235031.73,10200036.18,9649439.53,10670643.0,815701.15,1.1042,rotation,66,24.6,10.4,2.6,4.2,0.8,0.2,1.6,0.415,0.828,0.348,2.3,21.2,38.7,5.6,69,8.8,3.7,3.6,1.2,1.9,0.4
176,D'Angelo Russell,1626156,DAL,PG,10210813.48,10190704.03,9649439.53,10670643.0,832139.49,1.1023,rotation,45,22.9,10.9,2.6,3.9,0.7,0.2,1.6,0.42,0.788,0.342,2.1,21.1,37.4,6.2,60,9.2,3.9,4.5,1.5,1.6,0.4
177,Ryan Kalkbrenner,1641750,CHA,C,10062080.39,10094716.24,9518789.48,10574655.21,825527.74,0.9931,rotation,66,21.5,8.0,5.9,1.0,0.5,1.2,1.0,0.617,0.687,0.313,1.9,20.9,36.9,5.7,72,5.3,3.3,0.5,0.1,1.3,0.4
178,Taurean Prince,1627752,MIL,SF,10010119.0,9998728.45,9518789.48,10478667.41,802381.96,0.9678,rotation,48,24.0,8.5,3.6,1.7,0.7,0.3,1.1,0.452,0.782,0.415,0.9,17.4,31.5,4.9,58,6.8,3.1,3.8,1.6,0.7,0.4
179,Luguentz Dort,1629652,OKC,PG,9895373.59,9902740.66,9425468.02,10382679.62,754392.15,0.8928,rotation,66,25.6,9.2,3.3,1.8,0.9,0.4,0.9,0.419,0.791,0.372,1.2,18.7,33.2,5.2,70,7.8,3.2,4.5,1.7,1.0,0.4
180,Tari Eason,1631106,HOU,SF,9884412.32,9902740.66,9422801.69,10382679.62,772644.81,0.8848,rotation,55,23.1,9.7,5.5,1.4,1.1,0.6,1.1,0.455,0.73,0.352,1.6,22.2,40.7,5.5,72,8.2,3.7,2.9,1.0,1.2,0.4
181,Aaron Gordon,203932,DEN,SF,9884404.32,9873411.05,9326813.9,10382679.62,797373.09,0.8844,rotation,47,25.9,12.5,5.1,2.4,0.6,0.4,1.2,0.501,0.756,0.383,3.1,23.9,43.0,7.2,68,8.9,4.5,3.1,1.2,2.4,0.4
182,Jusuf Nurkić,203994,UTA,C,9875674.76,9902740.66,9326813.9,10382679.62,801054.49,0.8729,rotation,50,23.5,9.1,8.3,2.8,0.9,0.8,1.8,0.498,0.623,0.327,2.4,26.4,46.6,8.2,70,7.2,3.6,1.4,0.4,1.5,0.4
183,T.J. McConnell,204456,IND,PG,9862260.47,9902740.66,9326813.9,10433339.84,800487.84,0.8717,rotation,59,18.9,8.7,2.4,4.1,0.9,0.2,1.2,0.498,0.794,0.349,0.9,19.7,35.8,5.0,72,7.5,3.7,1.5,0.5,0.8,0.4
184,Jaylen Wells,1642377,MEM,SF,9800481.66,9806752.86,9326813.9,10286691.83,787783.68,0.8285,rotation,66,24.0,10.2,3.8,1.5,0.7,0.3,1.0,0.442,0.765,0.35,2.0,19.0,34.5,4.6,71,8.3,3.7,3.8,1.3,1.6,0.4
185,Bilal Coulibaly,1641731,WAS,PG,9794695.73,9806752.86,9326813.9,10336685.47,797068.38,0.8156,rotation,58,25.4,10.2,3.7,2.5,1.0,0.6,1.5,0.426,0.753,0.326,2.4,21.9,40.9,4.6,70,8.5,3.6,3.3,1.1,1.8,0.4
186,Santi Aldama,1630583,MEM,PF,9791362.82,9806752.86,9313482.26,10321354.09,778400.69,0.8187,rotation,50,24.5,10.9,5.5,2.1,0.7,0.6,1.1,0.472,0.686,0.354,1.9,23.7,43.2,6.2,71,8.8,4.1,3.6,1.3,1.3,0.4
187,Sion James,1642883,CHA,PG,9704053.92,9710765.07,9230826.1,10286691.83,775294.15,0.7531,rotation,74,22.0,7.2,3.1,2.2,0.7,0.2,1.0,0.413,0.806,0.354,1.5,16.1,29.6,3.8,69,6.0,2.5,3.0,1.0,1.2,0.4
188,Sam Merrill,1630241,CLE,PG,9578885.84,9614777.28,9038850.52,10190704.03,853211.32,0.672,rotation,56,22.4,9.6,2.4,2.2,0.7,0.2,0.8,0.436,0.841,0.396,1.2,17.4,30.9,5.1,65,7.5,3.3,5.0,2.0,1.0,0.4
